Actual value,Predicted value
15509.758434169,15700.788052434811
14694.7276501381,15060.496036286673
16718.3839422511,15252.091243851073
15823.8533719616,15018.14299576257
16095.6095942093,16683.15999369679
19510.4832594292,17063.485266840285
20165.3358854397,19885.909212683724
16120.0174214535,15774.10810630404
15898.1699966583,15485.9037532371
16226.3476986795,15783.875308121382
15952.3978962347,15690.684888960164
17469.8674589115,15820.253899306494
15349.1619671821,15329.569089676703
15937.1659685355,15509.704348367486
17234.3888123499,16674.52725197838
13851.246311009,16116.494579568063
15229.8470304924,15469.887709219076
11705.4005116215,13457.38561103005
15223.1716799166,14998.038191973854
15722.7380659681,14995.925698302219
17769.5509011915,15085.029808137468
12925.995518008,13894.128864574275
15134.6174227047,14965.324068114407
12520.0700244898,15142.9967633879
15411.8467412905,14247.005541039533
15116.9943830304,14915.771797786307
14226.4412955493,15045.629264437022
14529.8734170215,15592.582008639594
12473.4591799827,14977.727354285431
15243.7203080237,14838.210010508543
16002.9141738038,15320.476149393236
16310.985041825,16205.733303876448
17193.378707915,19868.856687282245
16569.7784132417,16109.252669607946
19333.0895776372,16663.253668238427
14466.8252190713,15731.63016991209
19919.5323779757,18369.675982037716
16104.9305155577,16005.123194199838
14494.4902867037,14995.91111835327
16865.1436675815,15569.519800230979
14069.4420560152,15349.05770392029
15835.6521728641,15549.675933345086
14621.5749587824,15474.739396977842
14819.2196892269,15283.544599496108
15482.3759561506,17305.345922891003
15848.4166990431,14996.72467915883
15856.188916071,15389.240943843995
18589.6913233873,15126.238058331814
16510.949131753,15559.749373043978
13861.8876678215,14655.09890745434
16114.0370271085,15394.02973383932
13909.1356585959,14133.91137687018
17245.3096564093,15117.758636876819
13756.0039390589,15073.508082475186
14046.5936693123,14483.33295773838
15027.219545909,15298.311885491277
16809.0150665168,15892.99738698248
16151.5153399933,15418.760607340211
16500.8347889375,14679.443451347863
15068.6053505648,15274.793489387512
14539.5149219494,15883.677315733825
17997.4061680754,15535.785059989637
15418.7893302868,15291.02560193618
15080.4714635154,15138.266322554087
15033.1009764091,15413.51371939334
16418.7346375853,16460.90838288069
15688.0719875678,15364.155178076433
15453.6344990172,15395.750525956475
12046.8577936863,13483.654287557612
14908.3498889134,15876.423000389044
15095.0392576461,16942.226280220508
15951.7277231081,15152.747435802154
17204.2972376565,18336.933472399123
15536.9315770013,15102.43300667122
17466.4646216934,15429.106283401017
16819.3066560188,15750.277766753088
14904.1859886104,15562.266427543269
14838.9370429781,15383.42018325033
14792.786820828,15321.55103652188
11983.7540444014,15405.720779311436
14091.6611620957,13588.234156541674
15707.9730902271,15697.482541676727
14799.3668570208,14659.542536844552
14679.4777387092,15759.121569454705
16780.9260050472,16371.337393714417
13232.4487974569,13518.88518668202
14707.536503726,13885.72815080259
13778.9412256734,13018.907714776615
14715.4192566046,15365.626081384888
15797.7553199356,15231.17161049212
18305.5732349604,18431.690564316148
15175.7994746993,15755.294106441019
15488.9694194966,15850.279931491848
17069.6099835153,15594.796543954095
15539.0207686029,15904.857640228523
15632.305673511,15266.700256199478
18972.7104060932,15601.046225596647
14720.8720077802,16403.147028921147
12397.3755804885,12458.40475031015
14872.0158212197,15020.24889045988
20528.4288609166,18352.412678094814
