"","x"
"155",129.710006713867
"156",129.220001220703
"157",131.089996337891
"158",132.059997558594
"159",131.600006103516
"160",132.139999389648
"161",130.5
"162",131.029998779297
"163",130.419998168945
"164",128.539993286133
"165",127.900001525879
"166",128.139999389648
"167",127.819999694824
"168",127.779998779297
"169",126.319999694824
"170",126.360000610352
"171",125.730003356934
"172",125.400001525879
"173",125.889999389648
"174",125.849998474121
"175",126.970001220703
"176",126.410003662109
"177",126.089996337891
"178",125.160003662109
"179",123.449996948242
"180",122.569999694824
"181",123.650001525879
"182",123.400001525879
"183",121.169998168945
"184",122.019996643066
"185",120.900001525879
"186",122.839996337891
"187",123.360000610352
"188",123.459999084473
"189",125.709999084473
"190",126.150001525879
"191",127.26000213623
"192",127.5
"193",128.179992675781
"194",125.680000305176
"195",126.76000213623
"196",128.889999389648
"197",129.479995727539
"198",128.589996337891
"199",129.820007324219
"200",132.419998168945
"201",132.639999389648
"202",132.690002441406
"203",134.380004882812
"204",134.410003662109
"205",135.300003051758
"206",136.419998168945
"207",137.600006103516
"208",137.199996948242
"209",138.399993896484
"210",137.479995727539
"211",135.960006713867
"212",133.690002441406
"213",131.169998168945
"214",129.429992675781
"215",131.339996337891
"216",132.339996337891
"217",131.759994506836
"218",134.059997558594
"219",133.809997558594
"220",133.669998168945
"221",134.240005493164
"222",132.160003662109
"223",132.080001831055
"224",132.899993896484
"225",134.440002441406
"226",132.839996337891
"227",133.919998168945
"228",133.399993896484
"229",134.240005493164
"230",135.360000610352
"231",135.479995727539
"232",138.380004882812
"233",138.940002441406
"234",139.539993286133
"235",140.330001831055
"236",141.070007324219
"237",142.970001220703
"238",143.449996948242
"239",144.179992675781
"240",143.330001831055
"241",144.169998168945
"242",144.449996948242
"243",144.240005493164
"244",146.179992675781
"245",145.910003662109
"246",142.490005493164
"247",143.25
"248",143.119995117188
"249",141.910003662109
"250",141.869995117188
"251",140.639999389648
"252",140.660003662109
"253",141.410003662109
"254",142.279998779297
"255",141.490005493164
"256",143.410003662109
"257",143.550003051758
"258",145.350006103516
"259",146.020004272461
"260",146.449996948242
"261",146.860000610352
"262",146.830001831055
"263",147.940002441406
"264",148.130004882812
"265",148.059997558594
"266",147.520004272461
"267",147.679992675781
"268",148.380004882812
"269",146.300003051758
"270",146.550003051758
"271",147.350006103516
"272",145.990005493164
"273",145.089996337891
"274",146.520004272461
"275",149.830001831055
"276",147.380004882812
"277",146.910003662109
"278",146.479995727539
"279",143.240005493164
"280",143.169998168945
"281",141.580001831055
"282",140.300003051758
"283",140.800003051758
"284",140.389999389648
"285",141.070007324219
"286",141.520004272461
"287",142.029998779297
"288",142.199996948242
"289",142.110000610352
"290",143.229995727539
"291",141.240005493164
"292",138.460006713867
"293",139.210006713867
"294",140.320007324219
"295",139.970001220703
"296",138.009994506836
"297",137.160003662109
"298",136.380004882812
"299",137.789993286133
"300",137.080001831055
"301",143.759994506836
"302",142.520004272461
"303",142.630004882812
"304",144.639999389648
"305",145.399993896484
"306",147.009994506836
"307",147.899993896484
"308",148.970001220703
"309",148.830001831055
"310",148.029998779297
"311",146.619995117188
"312",149.020004272461
"313",148.100006103516
"314",150.410003662109
"315",152.580001831055
"316",153.059997558594
"317",152.889999389648
"318",154.350006103516
"319",153.910003662109
"320",155.130004882812
"321",155.179992675781
"322",155.570007324219
"323",155.649993896484
"324",156.410003662109
